Manufacturer,Model Name,MP,Channels
Hikvision,DS-2CD2143G2-IU,4,1
Hikvision,DS-2CD2183G2-IS,8,1
Hikvision,DS-2CD2343G2-IU,4,1
Hikvision,DS-2CD2367G2P-LSU/SL,6,2
Hikvision,DS-2CD2387G2P-LSU/SL,8,2
Hikvision,DS-2CD2543G2-IS,4,1
Hikvision,DS-2CD2643G1-IZS,4,1
Hikvision,DS-2CD63C5G0E-IVS,12,1
Hikvision,DS-2CD7A26G0/P-IZHS8,2,1
Hikvision,DS-2TD2628-3/QA,,
Hikvision,ECI-B12F2,2,1
Hikvision,ECI-T24F2,4,1
Hikvision,HIKVISION DS-2CD2343G2-IU,4,
Honeywell,HC30W45R2,5,1
Honeywell,HC30WF5R1,5,1
Honeywell,HC35W45R2,5,1
Honeywell,HC35WB5R3,5,1
Honeywell,HC60W35R2,5,1
Honeywell,HC60W45R2,5,1
IPC,C1012D2-1,2,1
IPC,C1012D2-S-1,2,1
IPC,C6F0SoZ3N0PmL2,,
IPC,C7032-WR,2,1
Interlogix,TVC-M5225E-3M-N,5,1
Marquis,YMA42P_IR_N_AF,,
OpenEye,OE-C1012D2-1,2,1
OpenEye,OE-C3012T4B-S,4,1
OpenEye,OE-C3012T8-S-1,8,1
OpenEye,OE-C7032-WR,2,1
OpenEye,OE-C97512,12,1
Panasonic,WV-S2131L,2,1
Panasonic,WV-S2270L,8,1
Panasonic,WV-S2272L,8,1
Panasonic,WV-S2531L,2,1
Panasonic,WV-S2531LT,2,1
Panasonic,WV-S4550L,5,1
Panasonic,WV-S8530,2,4
Pelco,IBP232-1ER,2,1
Pelco,IBV229-1ER,2,1
Pelco,IBV529-1ER,5,1
Pelco,IJV223-1ERS,2,1
Pelco,IME238-1ERS,2,1
Pelco,IME238-1IRS,2,1
Pelco,IME238-1IRS-TSCCB1025157,2,1
Pelco,IME3122,3,1
Pelco,IME3122-ADSVN95,2,1
Pelco,IME329,3,1
Pelco,IME332-1IRS,3,1
Pelco,IMF82-1ES,8,1
Pelco,IMM12027,12,5
Smartview,Smart-ipc,,
Sony,SNC-DH140T,1,1
Sony,SNC-DH180,1,1
Sony,SNC-EM631,2.1,1
Sony,SNC-EM632R,2.1,1
Sony,SRG-XB25,8,1
Speco,O2D5M,2,1
Speco,O2MD2,2,1
Speco,O2iD4M,2,1
Speco,O4VT2G,3.5,1
Speco,O8D2M,8,1
USAVision,UA-R500F2,5,1
Uniview,IPC354SR3-ADNPF28-F,4,1
Vivotek,IB9388-HT,5,1
i-PRO,M-5360,5,1
i-PRO,WV-S2136L,2,1
i-PRO,WV-U2140LA,4,1
i-PRO,WV-U2142LA,4,1
i-PRO,WV-U2530LA,2,1
i-PRO,WV-U2532LA,2,1
i-PRO,WV-U2540LA,2,1
i-PRO,WV-U2530LA,2,1
pelco,IMP1110-1,5,1
pelco,P2230L-ESR,2,1
